Row Number,PlayerXPosition,PlayerYPosition,GoalXPosition,GoalYPosition,DesiredMoveXPosition,DesiredMoveYPosition
92,-7,5,-9,0,-1,-1
93,-3,6,-9,0,-1,-1
94,12,5,-9,0,-1,-1
95,10,1,-9,0,-1,-1
96,1,5,-9,0,-1,-1
97,15,4,-9,0,-1,-1
98,-14,0,-9,0,1,0
99,12,-5,-9,0,-1,1
100,-13,-1,-9,0,1,1
101,7,-7,-9,0,-1,1
102,-3,0,-9,0,-1,0
103,11,-6,-9,0,-1,1
104,11,7,-9,0,-1,-1
105,-6,2,-9,0,-1,-1
106,6,2,-9,0,-1,-1
107,-17,5,-9,0,1,-1
108,-4,3,-9,0,-1,-1
109,-4,6,-9,0,-1,-1
110,-6,7,-9,0,-1,-1
111,14,0,-9,0,-1,0
112,2,5,-9,0,-1,-1
113,-10,-3,-9,0,1,1
114,17,-1,-9,0,-1,1
115,12,8,-9,0,-1,-1
116,-4,-6,-9,0,-1,1
117,-18,-5,-9,0,1,1
118,-14,1,-9,0,1,-1
119,8,8,-9,0,-1,-1
120,17,3,-9,0,-1,-1
121,-5,4,3,-5,1,-1
122,-6,5,3,-5,1,-1
123,-2,6,3,-5,1,-1
124,10,6,3,-5,-1,-1
125,-6,-1,3,-5,1,-1
126,-1,0,3,-5,1,-1
127,-14,-6,3,-5,1,1
128,8,-4,3,-5,-1,-1
129,2,1,3,-5,1,-1
130,2,8,3,-5,1,-1
131,-15,3,3,-5,1,-1
132,-16,8,3,-5,1,-1
133,9,-7,3,-5,-1,1
134,-14,8,3,-5,1,-1
135,-8,3,3,-5,1,-1
136,13,-6,3,-5,-1,1
137,-2,7,3,-5,1,-1
138,-4,-5,3,-5,1,0
139,-16,-4,3,-5,1,-1
140,-12,-2,3,-5,1,-1
141,-10,-7,3,-5,1,1
142,14,-3,3,-5,-1,-1
143,-13,4,3,-5,1,-1
144,15,-6,3,-5,-1,1
145,13,-8,3,-5,-1,1
146,7,-4,3,-5,-1,-1
147,-9,5,3,-5,1,-1
148,7,-4,3,-5,-1,-1
149,4,-1,3,-5,-1,-1
150,0,7,3,-5,1,-1
151,-14,8,-5,0,1,-1
152,-9,4,-5,0,1,-1
153,-15,-3,-5,0,1,1
154,-11,5,-5,0,1,-1
155,-14,6,-5,0,1,-1
156,-10,8,-5,0,1,-1
157,-7,5,-5,0,1,-1
158,-5,-4,-5,0,0,1
159,-18,-8,-5,0,1,1
160,-15,7,-5,0,1,-1
161,-16,7,-5,0,1,-1
162,14,3,-5,0,-1,-1
163,-13,6,-5,0,1,-1
164,-12,1,-5,0,1,-1
165,-8,3,-5,0,1,-1
166,-15,7,-5,0,1,-1
167,-4,-8,-5,0,-1,1
168,0,-6,-5,0,-1,1
169,9,7,-5,0,-1,-1
170,12,5,-5,0,-1,-1
171,5,-4,-5,0,-1,1
172,9,-3,-5,0,-1,1
173,-12,-2,-5,0,1,1
174,14,0,-5,0,-1,0
175,-13,8,-5,0,1,-1
176,7,-8,-5,0,-1,1
177,8,2,-5,0,-1,-1
178,-15,-2,-5,0,1,1
179,0,4,-5,0,-1,-1
180,17,4,-5,0,-1,-1
181,4,-7,-6,-2,-1,1
182,6,7,-6,-2,-1,-1
183,-7,7,-6,-2,1,-1
184,-16,4,-6,-2,1,-1
185,-1,5,-6,-2,-1,-1
186,-3,3,-6,-2,-1,-1
187,-7,8,-6,-2,1,-1
188,1,-2,-6,-2,-1,0
189,-14,-7,-6,-2,1,1
190,-2,-8,-6,-2,-1,1
191,6,5,-6,-2,-1,-1
192,10,5,-6,-2,-1,-1
193,-9,5,-6,-2,1,-1
194,6,-7,-6,-2,-1,1
195,-14,-3,-6,-2,1,1
196,14,-1,-6,-2,-1,-1
197,13,1,-6,-2,-1,-1
198,-18,-1,-6,-2,1,-1
199,-10,2,-6,-2,1,-1
200,-1,8,-6,-2,-1,-1
201,0,-1,-6,-2,-1,-1
202,-18,-7,-6,-2,1,1
203,-16,3,-6,-2,1,-1
204,-18,0,-6,-2,1,-1
205,15,-2,-6,-2,-1,0
206,14,1,-6,-2,-1,-1
207,-2,0,-6,-2,-1,-1
208,-16,1,-6,-2,1,-1
209,3,1,-6,-2,-1,-1
210,-17,4,-6,-2,1,-1
211,-7,-1,-2,0,1,1
212,5,-5,-2,0,-1,1
213,8,-1,-2,0,-1,1
214,4,1,-2,0,-1,-1
215,14,-7,-2,0,-1,1
216,11,1,-2,0,-1,-1
217,5,-3,-2,0,-1,1
218,12,-1,-2,0,-1,1
219,-13,-2,-2,0,1,1
220,-5,4,-2,0,1,-1
221,2,-7,-2,0,-1,1
222,16,0,-2,0,-1,0
223,-10,-6,-2,0,1,1
224,2,6,-2,0,-1,-1
225,3,2,-2,0,-1,-1
226,8,-3,-2,0,-1,1
227,-6,-6,-2,0,1,1
228,9,-8,-2,0,-1,1
229,-12,-3,-2,0,1,1
230,4,1,-2,0,-1,-1
231,17,-6,-2,0,-1,1
232,-3,-4,-2,0,1,1
233,12,-3,-2,0,-1,1
234,4,3,-2,0,-1,-1
235,3,5,-2,0,-1,-1
236,8,7,-2,0,-1,-1
237,4,8,-2,0,-1,-1
238,6,-8,-2,0,-1,1
239,-15,6,-2,0,1,-1
240,14,1,-2,0,-1,-1
241,8,3,6,6,-1,1
242,-15,-2,6,6,1,1
243,-11,4,6,6,1,1
244,-13,0,6,6,1,1
245,18,0,6,6,-1,1
246,-9,-4,6,6,1,1
247,12,8,6,6,-1,-1
248,-5,-3,6,6,1,1
249,0,-3,6,6,1,1
250,-14,-7,6,6,1,1
251,16,1,6,6,-1,1
252,16,0,6,6,-1,1
253,-15,-8,6,6,1,1
254,-7,4,6,6,1,1
255,-4,-4,6,6,1,1
256,-2,7,6,6,1,-1
257,4,6,6,6,1,0
258,-16,7,6,6,1,-1
259,6,-7,6,6,0,1
260,-10,1,6,6,1,1
261,-1,-8,6,6,1,1
262,-17,8,6,6,1,-1
263,-6,8,6,6,1,-1
264,-10,-2,6,6,1,1
265,3,2,6,6,1,1
266,-4,-1,6,6,1,1
267,2,-8,6,6,1,1
268,-12,0,6,6,1,1
269,-13,6,6,6,1,0
270,-2,8,6,6,1,-1
271,-15,-4,11,4,1,1
272,-16,0,11,4,1,1
273,5,2,11,4,1,1
274,0,4,11,4,1,0
275,17,3,11,4,-1,1
276,-12,7,11,4,1,-1
277,-12,3,11,4,1,1
278,12,-1,11,4,-1,1
279,5,-5,11,4,1,1
280,0,-2,11,4,1,1
281,-15,-8,11,4,1,1
282,17,-1,11,4,-1,1
283,5,1,11,4,1,1
284,-2,6,11,4,1,-1
285,9,-6,11,4,1,1
286,-3,-6,11,4,1,1
287,-2,-5,11,4,1,1
288,11,-7,11,4,0,1
289,-5,-1,11,4,1,1
290,-2,3,11,4,1,1
291,11,0,11,4,0,1
292,-10,5,11,4,1,-1
293,-11,6,11,4,1,-1
294,7,0,11,4,1,1
295,9,-4,11,4,1,1
296,12,-6,11,4,-1,1
297,15,-7,11,4,-1,1
298,3,-5,11,4,1,1
299,17,-5,11,4,-1,1
300,-16,-8,11,4,1,1
301,-6,-6,10,5,1,1
302,15,-6,10,5,-1,1
303,7,-6,10,5,1,1
304,7,-4,10,5,1,1
305,-12,-6,10,5,1,1
306,-4,6,10,5,1,-1
307,-9,3,10,5,1,1
308,-4,-5,10,5,1,1
309,9,0,10,5,1,1
310,4,4,10,5,1,1
311,3,-4,10,5,1,1
312,4,-4,10,5,1,1
313,-14,-5,10,5,1,1
314,-17,-4,10,5,1,1
315,-8,2,10,5,1,1
316,10,-7,10,5,0,1
317,-18,-8,10,5,1,1
318,9,-4,10,5,1,1
319,-4,-2,10,5,1,1
320,-18,-2,10,5,1,1
321,-12,6,10,5,1,-1
322,12,-2,10,5,-1,1
323,-18,-3,10,5,1,1
324,15,-4,10,5,-1,1
325,1,0,10,5,1,1
326,-10,2,10,5,1,1
327,1,-4,10,5,1,1
328,10,-7,10,5,0,1
329,4,-5,10,5,1,1
330,-12,-7,10,5,1,1
331,-14,1,-6,-4,1,-1
332,-13,1,-6,-4,1,-1
333,-3,7,-6,-4,-1,-1
334,-9,-4,-6,-4,1,0
335,3,-7,-6,-4,-1,1
336,-8,4,-6,-4,1,-1
337,0,-1,-6,-4,-1,-1
338,3,3,-6,-4,-1,-1
339,-17,6,-6,-4,1,-1
340,13,1,-6,-4,-1,-1
341,18,6,-6,-4,-1,-1
342,17,7,-6,-4,-1,-1
343,0,3,-6,-4,-1,-1
344,10,-5,-6,-4,-1,1
345,3,7,-6,-4,-1,-1
346,-3,1,-6,-4,-1,-1
347,-11,-3,-6,-4,1,-1
348,-17,7,-6,-4,1,-1
349,3,8,-6,-4,-1,-1
350,16,-5,-6,-4,-1,1
351,8,7,-6,-4,-1,-1
352,12,5,-6,-4,-1,-1
353,13,2,-6,-4,-1,-1
354,7,-3,-6,-4,-1,-1
355,15,2,-6,-4,-1,-1
356,13,-4,-6,-4,-1,0
357,-18,1,-6,-4,1,-1
358,13,-3,-6,-4,-1,-1
359,-14,2,-6,-4,1,-1
360,14,0,-6,-4,-1,-1
361,-3,-4,10,3,1,1
362,0,2,10,3,1,1
363,1,-5,10,3,1,1
364,17,8,10,3,-1,-1
365,-6,-6,10,3,1,1
366,17,6,10,3,-1,-1
367,-18,7,10,3,1,-1
368,10,-2,10,3,0,1
369,5,5,10,3,1,-1
370,8,-6,10,3,1,1
371,-7,-6,10,3,1,1
372,8,8,10,3,1,-1
373,10,-4,10,3,0,1
374,-13,-3,10,3,1,1
375,13,-5,10,3,-1,1
376,-12,-8,10,3,1,1
377,-5,-7,10,3,1,1
378,6,-5,10,3,1,1
379,9,-2,10,3,1,1
380,-6,6,10,3,1,-1
381,-13,-4,10,3,1,1
382,-4,8,10,3,1,-1
383,-14,2,10,3,1,1
384,6,-2,10,3,1,1
385,-3,-6,10,3,1,1
386,-5,-6,10,3,1,1
387,17,-2,10,3,-1,1
388,5,2,10,3,1,1
389,4,-3,10,3,1,1
390,-3,6,10,3,1,-1
391,1,1,16,-2,1,-1
392,7,-1,16,-2,1,-1
393,-3,-8,16,-2,1,1
394,2,8,16,-2,1,-1
395,-3,-6,16,-2,1,1
396,2,2,16,-2,1,-1
397,-1,-5,16,-2,1,1
398,-8,-4,16,-2,1,1
399,1,-8,16,-2,1,1
400,8,-3,16,-2,1,1
401,-17,3,16,-2,1,-1
402,-16,0,16,-2,1,-1
403,-13,-4,16,-2,1,1
404,-1,3,16,-2,1,-1
405,-1,-7,16,-2,1,1
406,-9,8,16,-2,1,-1
407,-9,5,16,-2,1,-1
408,13,0,16,-2,1,-1
409,14,-7,16,-2,1,1
410,1,-3,16,-2,1,1
411,8,7,16,-2,1,-1
412,-7,-2,16,-2,1,0
413,4,1,16,-2,1,-1
414,-16,0,16,-2,1,-1
415,14,8,16,-2,1,-1
416,0,5,16,-2,1,-1
417,11,8,16,-2,1,-1
418,-5,-5,16,-2,1,1
419,-18,5,16,-2,1,-1
420,4,2,16,-2,1,-1
421,1,-4,-7,5,-1,1
422,9,-2,-7,5,-1,1
423,-8,-1,-7,5,1,1
424,-17,6,-7,5,1,-1
425,13,-6,-7,5,-1,1
426,9,5,-7,5,-1,0
427,-8,8,-7,5,1,-1
428,14,1,-7,5,-1,1
429,-18,7,-7,5,1,-1
430,15,3,-7,5,-1,1
431,-11,3,-7,5,1,1
432,-1,2,-7,5,-1,1
433,-6,-2,-7,5,-1,1
434,-4,-6,-7,5,-1,1
435,-5,-7,-7,5,-1,1
436,-11,-2,-7,5,1,1
437,-2,2,-7,5,-1,1
438,-9,0,-7,5,1,1
439,-10,3,-7,5,1,1
440,0,-6,-7,5,-1,1
441,15,-8,-7,5,-1,1
442,10,-8,-7,5,-1,1
443,2,-6,-7,5,-1,1
444,2,-3,-7,5,-1,1
445,-12,5,-7,5,1,0
446,-8,0,-7,5,1,1
447,16,7,-7,5,-1,-1
448,-3,7,-7,5,-1,-1
449,-10,-4,-7,5,1,1
450,-17,8,-7,5,1,-1
451,7,-4,-9,-1,-1,1
452,-3,-8,-9,-1,-1,1
453,-1,1,-9,-1,-1,-1
454,-6,-1,-9,-1,-1,0
455,2,1,-9,-1,-1,-1
456,16,-8,-9,-1,-1,1
457,-13,2,-9,-1,1,-1
458,11,0,-9,-1,-1,-1
459,-8,3,-9,-1,-1,-1
460,2,-2,-9,-1,-1,1
461,-13,-6,-9,-1,1,1
462,-11,-6,-9,-1,1,1
463,15,-1,-9,-1,-1,0
464,-3,4,-9,-1,-1,-1
465,-16,0,-9,-1,1,-1
466,11,3,-9,-1,-1,-1
467,6,4,-9,-1,-1,-1
468,17,-2,-9,-1,-1,1
469,-13,1,-9,-1,1,-1
470,7,-2,-9,-1,-1,1
471,16,3,-9,-1,-1,-1
472,13,-5,-9,-1,-1,1
473,1,0,-9,-1,-1,-1
474,-5,4,-9,-1,-1,-1
475,-4,-4,-9,-1,-1,1
476,16,-3,-9,-1,-1,1
477,-16,-2,-9,-1,1,1
478,2,0,-9,-1,-1,-1
479,14,8,-9,-1,-1,-1
480,3,-7,-9,-1,-1,1
481,-12,-2,8,8,1,1
482,4,-8,8,8,1,1
483,-6,2,8,8,1,1
484,8,1,8,8,0,1
485,18,0,8,8,-1,1
486,-1,3,8,8,1,1
487,7,-8,8,8,1,1
488,-5,3,8,8,1,1
489,-10,1,8,8,1,1
490,-4,-6,8,8,1,1
491,-11,2,8,8,1,1
492,-6,-6,8,8,1,1
493,-2,-6,8,8,1,1
494,-18,5,8,8,1,1
495,12,-4,8,8,-1,1
496,12,3,8,8,-1,1
497,-11,-3,8,8,1,1
498,-8,-4,8,8,1,1
499,6,0,8,8,1,1
500,15,-2,8,8,-1,1
501,-7,-3,8,8,1,1
502,15,2,8,8,-1,1
503,9,-4,8,8,-1,1
504,7,1,8,8,1,1
505,-14,7,8,8,1,1
506,-13,-2,8,8,1,1
507,-2,7,8,8,1,1
508,-9,-1,8,8,1,1
509,-10,-5,8,8,1,1
510,-17,2,8,8,1,1
511,-13,-2,8,3,1,1
512,-15,3,8,3,1,0
513,-18,-8,8,3,1,1
514,-7,-5,8,3,1,1
515,17,8,8,3,-1,-1
516,-6,8,8,3,1,-1
517,-9,-7,8,3,1,1
518,-6,-4,8,3,1,1
519,-17,6,8,3,1,-1
520,17,-1,8,3,-1,1
521,13,7,8,3,-1,-1
522,-11,-5,8,3,1,1
523,11,6,8,3,-1,-1
524,-10,1,8,3,1,1
525,-5,8,8,3,1,-1
526,-11,0,8,3,1,1
527,-9,5,8,3,1,-1
528,-14,-1,8,3,1,1
529,8,-6,8,3,0,1
530,13,-7,8,3,-1,1
531,-9,-3,8,3,1,1
532,-4,4,8,3,1,-1
533,-9,-2,8,3,1,1
534,-13,6,8,3,1,-1
535,-5,-1,8,3,1,1
536,-12,-4,8,3,1,1
537,6,-1,8,3,1,1
538,-17,-7,8,3,1,1
539,0,7,8,3,1,-1
540,-16,-5,8,3,1,1
541,4,0,-3,8,-1,1
542,-2,-7,-3,8,-1,1
543,-16,-7,-3,8,1,1
544,1,-2,-3,8,-1,1
545,-12,-1,-3,8,1,1
546,7,7,-3,8,-1,1
547,-6,6,-3,8,1,1
548,10,-2,-3,8,-1,1
549,13,-2,-3,8,-1,1
550,10,6,-3,8,-1,1
551,-10,2,-3,8,1,1
552,10,-3,-3,8,-1,1
553,15,-2,-3,8,-1,1
554,-8,-5,-3,8,1,1
555,-4,0,-3,8,1,1
556,1,4,-3,8,-1,1
557,-6,2,-3,8,1,1
558,9,0,-3,8,-1,1
559,15,-6,-3,8,-1,1
560,15,3,-3,8,-1,1
561,1,7,-3,8,-1,1
562,6,4,-3,8,-1,1
563,-13,-7,-3,8,1,1
564,16,6,-3,8,-1,1
565,-12,-8,-3,8,1,1
566,-10,3,-3,8,1,1
567,-16,3,-3,8,1,1
568,14,-6,-3,8,-1,1
569,17,6,-3,8,-1,1
570,10,2,-3,8,-1,1
571,9,-1,2,1,-1,1
572,-18,-2,2,1,1,1
573,15,4,2,1,-1,-1
574,-18,-3,2,1,1,1
575,11,0,2,1,-1,1
576,9,-3,2,1,-1,1
577,15,-6,2,1,-1,1
578,14,1,2,1,-1,0
579,12,-8,2,1,-1,1
580,18,-1,2,1,-1,1
581,14,-4,2,1,-1,1
582,7,-6,2,1,-1,1
583,17,-5,2,1,-1,1
584,-2,-3,2,1,1,1
585,17,7,2,1,-1,-1
586,-13,-7,2,1,1,1
587,-3,-6,2,1,1,1
588,1,-6,2,1,1,1
589,-10,1,2,1,1,0
590,18,-3,2,1,-1,1
591,-3,-5,2,1,1,1
592,10,3,2,1,-1,-1
593,-10,8,2,1,1,-1
594,12,-1,2,1,-1,1
595,10,7,2,1,-1,-1
596,16,1,2,1,-1,0
597,-12,-1,2,1,1,1
598,-1,6,2,1,1,-1
599,-8,5,2,1,1,-1
600,-11,8,2,1,1,-1
601,-16,-7,15,5,1,1
602,-18,-7,15,5,1,1
603,-5,6,15,5,1,-1
604,-12,7,15,5,1,-1
605,15,-7,15,5,0,1
606,-3,-6,15,5,1,1
607,-12,6,15,5,1,-1
608,3,2,15,5,1,1
609,2,-4,15,5,1,1
610,-11,-2,15,5,1,1
611,1,-5,15,5,1,1
612,-14,-3,15,5,1,1
613,-3,1,15,5,1,1
614,1,-4,15,5,1,1
615,-8,-6,15,5,1,1
616,13,-3,15,5,1,1
617,-16,-7,15,5,1,1
618,1,2,15,5,1,1
619,-14,1,15,5,1,1
620,-16,-4,15,5,1,1
621,-14,7,15,5,1,-1
622,-14,-4,15,5,1,1
623,-17,0,15,5,1,1
624,-11,6,15,5,1,-1
625,3,7,15,5,1,-1
626,17,2,15,5,-1,1
627,10,0,15,5,1,1
628,-17,6,15,5,1,-1
629,-15,-1,15,5,1,1
630,-15,-8,15,5,1,1
631,8,8,-11,4,-1,-1
632,3,4,-11,4,-1,0
633,14,7,-11,4,-1,-1
634,12,1,-11,4,-1,1
635,11,7,-11,4,-1,-1
636,11,8,-11,4,-1,-1
637,4,6,-11,4,-1,-1
638,17,-4,-11,4,-1,1
639,8,2,-11,4,-1,1
640,1,-7,-11,4,-1,1
641,0,1,-11,4,-1,1
642,17,-1,-11,4,-1,1
643,-17,1,-11,4,1,1
644,-7,-2,-11,4,-1,1
645,18,-1,-11,4,-1,1
646,3,1,-11,4,-1,1
647,12,1,-11,4,-1,1
648,17,-2,-11,4,-1,1
649,9,-5,-11,4,-1,1
650,9,-8,-11,4,-1,1
651,3,8,-11,4,-1,-1
652,-15,2,-11,4,1,1
653,3,4,-11,4,-1,0
654,-3,-2,-11,4,-1,1
655,-15,1,-11,4,1,1
656,6,7,-11,4,-1,-1
657,-10,1,-11,4,-1,1
658,-14,-3,-11,4,1,1
659,16,5,-11,4,-1,-1
660,-8,1,-11,4,-1,1
661,15,-7,-1,2,-1,1
662,-4,-6,-1,2,1,1
663,1,-5,-1,2,-1,1
664,-8,8,-1,2,1,-1
665,13,-5,-1,2,-1,1
666,8,-2,-1,2,-1,1
667,-10,-6,-1,2,1,1
668,4,1,-1,2,-1,1
669,-16,-5,-1,2,1,1
670,-16,-5,-1,2,1,1
671,-3,6,-1,2,1,-1
672,6,6,-1,2,-1,-1
673,-6,0,-1,2,1,1
674,-12,6,-1,2,1,-1
675,0,5,-1,2,-1,-1
676,17,-1,-1,2,-1,1
677,-5,4,-1,2,1,-1
678,3,-4,-1,2,-1,1
679,13,7,-1,2,-1,-1
680,-4,4,-1,2,1,-1
681,-7,6,-1,2,1,-1
682,-14,5,-1,2,1,-1
683,11,-1,-1,2,-1,1
684,17,-2,-1,2,-1,1
685,-17,2,-1,2,1,0
686,8,-5,-1,2,-1,1
687,16,7,-1,2,-1,-1
688,2,-1,-1,2,-1,1
689,-2,-1,-1,2,1,1
690,-5,1,-1,2,1,1
691,-15,-8,16,-5,1,1
692,7,-2,16,-5,1,-1
693,12,8,16,-5,1,-1
694,13,7,16,-5,1,-1
695,9,-5,16,-5,1,0
696,-17,-7,16,-5,1,1
697,4,4,16,-5,1,-1
698,8,-1,16,-5,1,-1
699,-15,1,16,-5,1,-1
700,-11,-5,16,-5,1,0
701,1,-1,16,-5,1,-1
702,17,0,16,-5,-1,-1
703,13,-7,16,-5,1,1
704,0,8,16,-5,1,-1
705,-10,2,16,-5,1,-1
706,-12,-3,16,-5,1,-1
707,-3,-4,16,-5,1,-1
708,-1,-7,16,-5,1,1
709,8,-2,16,-5,1,-1
710,6,-1,16,-5,1,-1
711,-1,-4,16,-5,1,-1
712,6,-8,16,-5,1,1
713,3,7,16,-5,1,-1
714,9,4,16,-5,1,-1
715,-2,-8,16,-5,1,1
716,-3,5,16,-5,1,-1
717,10,-1,16,-5,1,-1
718,4,-1,16,-5,1,-1
719,-7,0,16,-5,1,-1
720,-6,5,16,-5,1,-1
721,-18,-3,8,-3,1,0
722,11,3,8,-3,-1,-1
723,-2,6,8,-3,1,-1
724,-7,-5,8,-3,1,1
725,14,2,8,-3,-1,-1
726,-14,0,8,-3,1,-1
727,-6,3,8,-3,1,-1
728,-12,-5,8,-3,1,1
729,7,7,8,-3,1,-1
730,-9,-2,8,-3,1,-1
731,-3,8,8,-3,1,-1
732,15,3,8,-3,-1,-1
733,-17,-2,8,-3,1,-1
734,-14,-6,8,-3,1,1
735,-12,-2,8,-3,1,-1
736,-8,-2,8,-3,1,-1
737,2,-8,8,-3,1,1
738,-1,-4,8,-3,1,1
739,-18,3,8,-3,1,-1
740,16,6,8,-3,-1,-1
741,-14,-3,8,-3,1,0
742,17,7,8,-3,-1,-1
743,-8,2,8,-3,1,-1
744,15,-5,8,-3,-1,1
745,-12,3,8,-3,1,-1
746,10,3,8,-3,-1,-1
747,17,-7,8,-3,-1,1
748,-18,3,8,-3,1,-1
749,1,-4,8,-3,1,1
750,10,8,8,-3,-1,-1
751,-14,-3,-4,-8,1,-1
752,-15,3,-4,-8,1,-1
753,-12,-4,-4,-8,1,-1
754,12,0,-4,-8,-1,-1
755,-17,-7,-4,-8,1,-1
756,-16,7,-4,-8,1,-1
757,18,-2,-4,-8,-1,-1
758,5,-7,-4,-8,-1,-1
759,-15,6,-4,-8,1,-1
760,-14,3,-4,-8,1,-1
761,-7,-8,-4,-8,1,0
762,18,-4,-4,-8,-1,-1
763,8,-8,-4,-8,-1,0
764,-8,7,-4,-8,1,-1
765,-4,5,-4,-8,0,-1
766,10,-6,-4,-8,-1,-1
767,-16,-8,-4,-8,1,0
768,8,-8,-4,-8,-1,0
769,-11,-1,-4,-8,1,-1
770,-17,-1,-4,-8,1,-1
771,-13,-4,-4,-8,1,-1
772,-13,3,-4,-8,1,-1
773,-9,0,-4,-8,1,-1
774,-18,2,-4,-8,1,-1
775,12,5,-4,-8,-1,-1
776,-11,-1,-4,-8,1,-1
777,17,-8,-4,-8,-1,0
778,6,-5,-4,-8,-1,-1
779,-8,-4,-4,-8,1,-1
780,-16,8,-4,-8,1,-1
781,11,-8,16,6,1,1
782,0,7,16,6,1,-1
783,-4,4,16,6,1,1
784,12,-5,16,6,1,1
785,12,-3,16,6,1,1
786,-13,-5,16,6,1,1
787,-9,-4,16,6,1,1
788,15,-8,16,6,1,1
789,4,4,16,6,1,1
790,16,-1,16,6,0,1
791,6,2,16,6,1,1
792,-8,-8,16,6,1,1
793,3,-4,16,6,1,1
794,11,-4,16,6,1,1
795,15,3,16,6,1,1
796,7,4,16,6,1,1
797,-12,7,16,6,1,-1
798,13,-2,16,6,1,1
799,13,-6,16,6,1,1
800,-11,-7,16,6,1,1
801,-11,-5,16,6,1,1
802,-15,6,16,6,1,0
803,18,0,16,6,-1,1
804,3,2,16,6,1,1
805,1,-1,16,6,1,1
806,-16,5,16,6,1,1
807,5,-3,16,6,1,1
808,-9,-8,16,6,1,1
809,6,-5,16,6,1,1
810,3,-2,16,6,1,1
811,-16,-7,13,-3,1,1
812,2,4,13,-3,1,-1
813,-5,-2,13,-3,1,-1
814,2,4,13,-3,1,-1
815,-8,2,13,-3,1,-1
816,-18,-1,13,-3,1,-1
817,17,2,13,-3,-1,-1
818,-16,-1,13,-3,1,-1
819,-15,-4,13,-3,1,1
820,-5,7,13,-3,1,-1
821,14,1,13,-3,-1,-1
822,-13,-1,13,-3,1,-1
823,-17,6,13,-3,1,-1
824,-13,-6,13,-3,1,1
825,16,4,13,-3,-1,-1
826,1,-5,13,-3,1,1
827,-4,8,13,-3,1,-1
828,0,-2,13,-3,1,-1
829,-9,4,13,-3,1,-1
830,2,-3,13,-3,1,0
831,-16,-4,13,-3,1,1
832,17,-2,13,-3,-1,-1
833,-13,7,13,-3,1,-1
834,6,-3,13,-3,1,0
835,16,1,13,-3,-1,-1
836,13,3,13,-3,0,-1
